Quantity,Component,Price (USD),Link
1,ESP WROOM 32 MCU Module Version 1.1,3.74,https://robu.in/product/esp-wroom-32-esp32-wifi-bt-ble-mcu-module/
2,TowerPro SG90 Mini Servo — 9g,2.63,https://robu.in/product/towerpro-sg90-9g-mini-servo-9-gram/
1,500mAh PCM Protected Micro Li‑Po Battery (3.7V),2.75,https://robu.in/product/500mah-pcm-protected-micro-li-po-battery/
2,TP4056 1A Li‑ion Lithium Battery Charging Module — Type C,0.27,https://robu.in/product/tp4056-1a-li-ion-lithium-battery-charging-module-with-current-protection-type-c/
1,SK‑12D07VG5 Horizontal Slide Switch 1P2T (Height:5mm),0.02,https://robu.in/product/sk-12d07vg5-horizontal-slide-switch-1p2theight5mm/
1,DIP Switch-HC-32,0.14,https://robu.in/product/1-month-warranty-243/
1,Digital Multimeter Small Yellow Color LCD AC DC Measuring Voltage Current,1.80,https://robu.in/product/digital-multimeter-small-yellow-color-lcd-ac-dc-measuring-voltage-current/
1,Multi‑meter Test Probes Cable Set,0.91,https://robu.in/product/1-month-warranty-1260/
1,Infrared IR Wireless Remote Control Module Kit for Arduino,0.71,https://robu.in/product/infrared-ir-wireless-remote-control-module-kit-arduino/
1,MT3608 2A Max DC‑DC Step‑Up Power Module,0.36,https://robu.in/product/mt3608-2a-max-dc-dc-step-up-power-module-booster-power-module/
1,Breadboard Jumper Wire 20cm x 20 (Male to Female),0.32,https://robu.in/product/bread-board-jumper-wire-20-cm-x-20-male-to-female/
1,Male to Male Jumper Wires 40pcs 10cm,0.46,https://robu.in/product/male-to-male-jumper-wires-40-pcs-10cm/
1,Male to Female Jumper Wires 40pcs 10cm,0.39,
1,Multicolor Flat Ribbon Cable 10‑wire per 1m (2pcs),0.71,https://robu.in/product/multicolor-flat-ribbon-cable-10-cond-1meter/
1,Shipping,1.10,
,Total USD,19.21,
